,일련번호,메뉴명,새 재료정보,종류,용량,단위,새 재료정보 추출
0,28,새우 두부 계란찜,연두부 75g(3/4모),0,75,g,연두부
1,28,새우 두부 계란찜,칵테일새우 20g(5마리),0,20,g,칵테일새우
2,28,새우 두부 계란찜,달걀 30g(1/2개),0,30,g,달걀
3,28,새우 두부 계란찜,생크림 13g(1큰술),0,13,g,생크림
4,28,새우 두부 계란찜,설탕 5g(1작은술),2,5,g,설탕
5,28,새우 두부 계란찜,무염버터 5g(1작은술),0,5,g,무염버터
6,28,새우 두부 계란찜,고명,0,0,,고명
7,28,새우 두부 계란찜,시금치 10g(3줄기),0,10,g,시금치
8,29,부추 콩가루 찜,1인분,0,0,,인분
9,29,부추 콩가루 찜,조선부추 50g,0,50,g,조선부추
10,29,부추 콩가루 찜,날콩가루 7g(1⅓작은술),0,7,g,날콩가루
11,29,부추 콩가루 찜,양념장,0,0,,양념장
12,29,부추 콩가루 찜,저염간장 3g(2/3작은술),2,3,g,저염간장
13,29,부추 콩가루 찜,다진 대파 5g(1작은술),0,5,g,다진대파
14,29,부추 콩가루 찜,다진 마늘 2g(1/2쪽),0,2,g,다진마늘
15,29,부추 콩가루 찜,고춧가루 2g(1/3작은술),0,2,g,고춧가루
16,29,부추 콩가루 찜,요리당 2g(1/3작은술),0,2,g,요리당
17,29,부추 콩가루 찜,참기름 2g(1/3작은술),2,2,g,참기름
18,29,부추 콩가루 찜,참깨 약간,0,0,,참깨약간
19,31,방울토마토 소박이,방울토마토 150g(5개),0,150,g,방울토마토
20,31,방울토마토 소박이,양파 10g(3×1cm),0,10,g,양파
21,31,방울토마토 소박이,부추 10g(5줄기),0,10,g,부추
22,31,방울토마토 소박이,양념장,0,0,,양념장
23,31,방울토마토 소박이,고춧가루 4g(1작은술),0,4,g,고춧가루
24,31,방울토마토 소박이,멸치액젓 3g(2/3작은술),0,3,g,멸치액젓
25,31,방울토마토 소박이,다진 마늘 2.5g(1/2쪽),0,2.5,g,다진마늘
26,31,방울토마토 소박이,매실액 2g(1/3작은술),0,2,g,매실액
27,31,방울토마토 소박이,설탕 2g(1/3작은술),2,2,g,설탕
28,31,방울토마토 소박이,물 2ml(1/3작은술),0,0,,물
29,31,방울토마토 소박이,통깨 약간,0,0,,통깨약간
30,32,순두부 사과 소스 오이무침,오이무침,0,0,,오이무침
31,32,순두부 사과 소스 오이무침,오이 70g(1/3개),0,70,g,오이
32,32,순두부 사과 소스 오이무침,다진 땅콩 10g(1큰술),0,10,g,다진땅콩
33,32,순두부 사과 소스 오이무침,순두부사과 소스,0,0,,순두부사과소스
34,32,순두부 사과 소스 오이무침,순두부 40g(1/8봉지),0,40,g,순두부
35,32,순두부 사과 소스 오이무침,사과 50g(1/3개),0,50,g,사과
36,33,사과 새우 북엇국,북엇국,0,0,,북엇국
37,33,사과 새우 북엇국,북어채 25g(15개),0,25,g,북어채
38,33,사과 새우 북엇국,새우 10g(3마리),0,10,g,새우
39,33,사과 새우 북엇국,사과 30g(1/5개),0,30,g,사과
40,33,사과 새우 북엇국,양파 40g(1/4개),0,40,g,양파
41,33,사과 새우 북엇국,표고버섯 20g(2장),0,20,g,표고버섯
42,33,사과 새우 북엇국,물 300ml(1½컵),0,0,,물
43,36,저염 된장으로 맛을 낸 황태해장국,황태해장국,0,0,,황태해장국
44,36,저염 된장으로 맛을 낸 황태해장국,황태(채) 15g(10개),0,15,g,황태
45,36,저염 된장으로 맛을 낸 황태해장국,콩나물 30g(1/6봉지),0,30,g,콩나물
46,36,저염 된장으로 맛을 낸 황태해장국,무 30g(5×3×2cm),0,30,g,무
47,36,저염 된장으로 맛을 낸 황태해장국,저염된장 10g(2작은술),2,10,g,저염된장
48,36,저염 된장으로 맛을 낸 황태해장국,물 300ml(1½컵),0,0,,물
49,36,저염 된장으로 맛을 낸 황태해장국,청양고추 5g(1/2개),2,5,g,청양고추
50,36,저염 된장으로 맛을 낸 황태해장국,다진 마늘 2g(1/3작은술),0,2,g,다진마늘
51,37,된장국,두부 20g(2×2×2cm),0,20,g,두부
52,37,된장국,애느타리버섯 20g(4가닥),0,20,g,애느타리버섯
53,37,된장국,감자 10g(4×3×1cm),0,10,g,감자
54,37,된장국,양파 10g(2×1cm),0,10,g,양파
55,37,된장국,대파 10g(5cm),0,10,g,대파
56,37,된장국,된장 5g(1작은술),2,5,g,된장
57,37,된장국,물 300ml(1½컵),0,0,,물
58,38,표고버섯 청경채국,멸치육수,0,0,,멸치육수
59,38,표고버섯 청경채국,국물용 멸치 5g(3마리),0,5,g,국물용멸치
60,38,표고버섯 청경채국,다시마 1장(5×1cm),0,0,,다시마
61,38,표고버섯 청경채국,양파 10g(2×1cm),0,10,g,양파
62,38,표고버섯 청경채국,표고버섯 기둥,0,0,,표고버섯기둥
63,38,표고버섯 청경채국,국간장 5g(1작은술),2,5,g,국간장
64,38,표고버섯 청경채국,물 300ml(1½컵),0,0,,물
65,38,표고버섯 청경채국,채소준비,0,0,,채소준비
66,38,표고버섯 청경채국,청경채 20g(1개),2,20,g,청경채
67,38,표고버섯 청경채국,표고버섯 20g(2장),0,20,g,표고버섯
68,38,표고버섯 청경채국,다진 마늘 2g(1/3작은술),0,2,g,다진마늘
69,95,치커리샐러드와 올리브 마늘 소스,치커리 샐러드,0,0,,치커리샐러드
70,95,치커리샐러드와 올리브 마늘 소스,치커리 30g(10줄기),0,30,g,치커리
71,95,치커리샐러드와 올리브 마늘 소스,적양배추 15g(5×3cm),0,15,g,적양배추
72,95,치커리샐러드와 올리브 마늘 소스,양파 10g(2×1cm),0,10,g,양파
73,95,치커리샐러드와 올리브 마늘 소스,당근 5g(3×1×1cm),0,5,g,당근
74,95,치커리샐러드와 올리브 마늘 소스,올리브마늘 드레싱,0,0,,올리브마늘드레싱
75,95,치커리샐러드와 올리브 마늘 소스,올리브유 10g(2작은술),2,10,g,올리브유
76,95,치커리샐러드와 올리브 마늘 소스,식초 5g(1작은술),2,5,g,식초
77,95,치커리샐러드와 올리브 마늘 소스,설탕 5g(1작은술),2,5,g,설탕
78,95,치커리샐러드와 올리브 마늘 소스,마늘 5g(1쪽),0,5,g,마늘
79,87,스트로베리 샐러드,딸기 70g(7개),0,70,g,딸기
80,87,스트로베리 샐러드,플레인요거트 85g(1개),0,85,g,플레인요거트
81,87,스트로베리 샐러드,양상추 70g(2장),0,70,g,양상추
82,87,스트로베리 샐러드,메추리알 30g(3개),0,30,g,메추리알
83,87,스트로베리 샐러드,블루베리 15g(1큰술),0,15,g,블루베리
84,87,스트로베리 샐러드,식초 약간,2,0,,식초약간
85,87,스트로베리 샐러드,소금 약간,2,0,,소금약간
86,89,시금치 우유 소스와 그린매쉬드포테이토,그린매쉬드포테이토,0,0,,그린매쉬드포테이토
87,89,시금치 우유 소스와 그린매쉬드포테이토,감자 80g(1/2개),0,80,g,감자
88,89,시금치 우유 소스와 그린매쉬드포테이토,시금치우유 소스 5g(1작은술),0,5,g,시금치우유소스
89,89,시금치 우유 소스와 그린매쉬드포테이토,아몬드 2g(1알),0,2,g,아몬드
90,89,시금치 우유 소스와 그린매쉬드포테이토,설탕 2g(1/3작은술),2,2,g,설탕
91,89,시금치 우유 소스와 그린매쉬드포테이토,크랜베리 3g,0,3,g,크랜베리
92,89,시금치 우유 소스와 그린매쉬드포테이토,치커리 약간,0,0,,치커리약간
93,89,시금치 우유 소스와 그린매쉬드포테이토,시금치우유 소스,0,0,,시금치우유소스
94,89,시금치 우유 소스와 그린매쉬드포테이토,시금치 10g,0,10,g,시금치
95,89,시금치 우유 소스와 그린매쉬드포테이토,우유 10g(2작은술),0,10,g,우유
96,91,버섯구이와 두부타르타르 소스,버섯구이,0,0,,버섯구이
97,91,버섯구이와 두부타르타르 소스,새송이버섯 70g(7개),0,70,g,새송이버섯
98,91,버섯구이와 두부타르타르 소스,올리브유 10g(2작은술),2,10,g,올리브유
99,91,버섯구이와 두부타르타르 소스,곁들임,0,0,,곁들임
100,91,버섯구이와 두부타르타르 소스,치커리 10g(3줄기),0,10,g,치커리
101,91,버섯구이와 두부타르타르 소스,두부타르타르 소스,0,0,,두부타르타르소스
102,91,버섯구이와 두부타르타르 소스,연두부 30g(1/4모),0,30,g,연두부
103,91,버섯구이와 두부타르타르 소스,다진 양파 10g(2작은술),0,10,g,다진양파
104,91,버섯구이와 두부타르타르 소스,다진 오이피클 10g(2작은술),0,10,g,다진오이피클
105,91,버섯구이와 두부타르타르 소스,올리브유 2g(1/3작은술),2,2,g,올리브유
106,91,버섯구이와 두부타르타르 소스,식초 5g(1작은술),2,5,g,식초
107,91,버섯구이와 두부타르타르 소스,레몬즙 3g(2/3작은술),2,3,g,레몬즙
