Unnamed: 0	품목분류코드	한글_명	영문_명	이명	정의	레벨	상위_품목_코드	최상위_품목_코드	비고	종류	code
0	A0000000000000	식물성				1	A0000000000000	A0000000000000		nan	N
1	A0100000000000	곡류				2	A0000000000000	A0000000000000		nan	N
2	A0100100000000	쌀				3	A0100000000000	A0000000000000		nan	N
3	A0100100000000	일반미				4	A0100100000000	A0000000000000		일반미	Y0000000000001
4	A0100100000000	청결미				4	A0100100000000	A0000000000000		청결미	Y0000000000002
5	A0100100000000	품질인증미				4	A0100100000000	A0000000000000		품질인증미	Y0000000000003
6	A0100100000000	혼합미				4	A0100100000000	A0000000000000		혼합미	Y0000000000004
7	A0100100000000	흑미				4	A0100100000000	A0000000000000		흑미	Y0000000000005
8	A0100100000000	향미				4	A0100100000000	A0000000000000		향미	Y0000000000006
9	A0100100000000	양조미				4	A0100100000000	A0000000000000		양조미	Y0000000000007
10	A0100100000000	대립미				4	A0100100000000	A0000000000000		대립미	Y0000000000008
11	A0100100000000	쑥쌀				4	A0100100000000	A0000000000000		쑥쌀	Y0000000000009
12	A0100100000000	멥쌀				4	A0100100000000	A0000000000000		멥쌀	Y000000000000A
13	A0100100001813	찹쌀				3	A0100000000000	A0000000000000		nan	N
14	A0100100001813	일반계				4	A0100100001813	A0000000000000		일반계	Y000000000000B
15	A0100100001813	현미찹쌀				4	A0100100001813	A0000000000000		현미찹쌀	Y000000000000C
16	A0100100011813	찹쌀가루		찹쌀분말		4	A0100100001813	A0000000000000		nan	N
17	A0100100002813	현미				3	A0100000000000	A0000000000000		nan	N
18	A0100100002813	현미쑥쌀				4	A0100100002813	A0000000000000		현미쑥쌀	Y000000000000D
19	A0100100002813	메현미				4	A0100100002813	A0000000000000		메현미	Y000000000000E
20	A0100100002813	찰현미				4	A0100100002813	A0000000000000		찰현미	Y000000000000F
21	A0100100002813	흑현미				4	A0100100002813	A0000000000000		흑현미	Y0000000000010
22	A0100100002813	발아현미				4	A0100100002813	A0000000000000		발아현미	Y0000000000011
23	A0100100002813	찰흑미				4	A0100100002813	A0000000000000		찰흑미	Y0000000000012
24	A0100100002813	흑향미				4	A0100100002813	A0000000000000		흑향미	Y0000000000013
25	A0100100004000	쌀건조				4	A0100100000000	A0000000000000		nan	N
26	A0100100008000	쌀냉동				4	A0100100000000	A0000000000000		nan	N
27	A0100100000813	쌀가루		쌀분말		4	A0100100000000	A0000000000000		nan	N
28	A0100200000000	보리				3	A0100000000000	A0000000000000		nan	N
29	A0100200000000	쌀보리				4	A0100200000000	A0000000000000		쌀보리	Y0000000000014
30	A0100200000000	맥주보리				4	A0100200000000	A0000000000000		맥주보리	Y0000000000015
31	A0100200000000	발아보리				4	A0100200000000	A0000000000000		발아보리	Y0000000000016
32	A0100200000000	겉보리				4	A0100200000000	A0000000000000		겉보리	Y0000000000017
33	A0100200000813	보리쌀				3	A0100000000000	A0000000000000		nan	N
34	A0100200000813	겉보리쌀				4	A0100200000813	A0000000000000		겉보리쌀	Y0000000000018
35	A0100200000813	쌀보리쌀				4	A0100200000813	A0000000000000		쌀보리쌀	Y0000000000019
36	A0100200000813	맥주보리쌀				4	A0100200000813	A0000000000000		맥주보리쌀	Y000000000001A
37	A0100200000813	찰보리쌀				4	A0100200000813	A0000000000000		찰보리쌀	Y000000000001B
38	A0100200000813	늘보리쌀				4	A0100200000813	A0000000000000		늘보리쌀	Y000000000001C
39	A0100200000813	할맥				4	A0100200000813	A0000000000000		할맥	Y000000000001D
40	A0100200000813	압맥				4	A0100200000813	A0000000000000		압맥	Y000000000001E
41	A0100200004000	보리건조				4	A0100200000000	A0000000000000		nan	N
42	A0100200008000	보리냉동				4	A0100200000000	A0000000000000		nan	N
43	A0100300000000	밀		부소맥		3	A0100000000000	A0000000000000		nan	N
44	A0100300000000	밀		부소맥		4	A0100300000000	A0000000000000		밀	Y000000000001F
45	A0100300000000	발아밀		부소맥		4	A0100300000000	A0000000000000		발아밀	Y0000000000020
46	A0100300004000	밀건조		부소맥		4	A0100300000000	A0000000000000		nan	N
47	A0100300008000	밀냉동		부소맥		4	A0100300000000	A0000000000000		nan	N
48	A0100400000000	메밀		교맥		3	A0100000000000	A0000000000000		nan	N
49	A0100400004000	메밀건조		교맥		4	A0100400000000	A0000000000000		nan	N
50	A0100400008000	메밀냉동		교맥		4	A0100400000000	A0000000000000		nan	N
51	A0100500000000	조				3	A0100000000000	A0000000000000		nan	N
52	A0100500000000	차조				4	A0100500000000	A0000000000000		차조	Y0000000000021
53	A0100500000000	메좁쌀				4	A0100500000000	A0000000000000		메좁쌀	Y0000000000022
54	A0100500000000	차좁쌀				4	A0100500000000	A0000000000000		차좁쌀	Y0000000000023
55	A0100500000000	좁쌀				4	A0100500000000	A0000000000000		좁쌀	Y0000000000024
56	A0100500000000	발아조				4	A0100500000000	A0000000000000		발아조	Y0000000000025
57	A0100500000000	메조				4	A0100500000000	A0000000000000		메조	Y0000000000026
58	A0100500004000	조건조				4	A0100500000000	A0000000000000		nan	N
59	A0100500008000	조냉동				4	A0100500000000	A0000000000000		nan	N
60	A0100600000000	수수				3	A0100000000000	A0000000000000		nan	N
61	A0100600000000	차수수				4	A0100600000000	A0000000000000		차수수	Y0000000000027
62	A0100600000000	수수쌀				4	A0100600000000	A0000000000000		수수쌀	Y0000000000028
63	A0100600000000	발아수수				4	A0100600000000	A0000000000000		발아수수	Y0000000000029
64	A0100600000000	메수수				4	A0100600000000	A0000000000000		메수수	Y000000000002A
65	A0100600004000	수수건조				4	A0100600000000	A0000000000000		nan	N
66	A0100600008000	수수냉동				4	A0100600000000	A0000000000000		nan	N
67	A0100700000000	옥수수		"옥미수, 옥고량"		3	A0100000000000	A0000000000000		nan	N
68	A0100700000000	곡실옥수수		"옥미수, 옥고량"		4	A0100700000000	A0000000000000		곡실옥수수	Y000000000002B
69	A0100700000000	찰옥수수		"옥미수, 옥고량"		4	A0100700000000	A0000000000000		찰옥수수	Y000000000002C
70	A0100700000000	풋옥수수		"옥미수, 옥고량"		4	A0100700000000	A0000000000000		풋옥수수	Y000000000002D
71	A0100700000000	팝콘옥수수		"옥미수, 옥고량"		4	A0100700000000	A0000000000000		팝콘옥수수	Y000000000002E
72	A0100700000000	옥수수쌀		"옥미수, 옥고량"		4	A0100700000000	A0000000000000		옥수수쌀	Y000000000002F
73	A0100700000000	미백		"옥미수, 옥고량"		4	A0100700000000	A0000000000000		미백	Y0000000000030
74	A0100700000000	단옥수수		"옥미수, 옥고량"		4	A0100700000000	A0000000000000		단옥수수	Y0000000000031
75	A0100700000000	발아옥수수		"옥미수, 옥고량"		4	A0100700000000	A0000000000000		발아옥수수	Y0000000000032
76	A0100700004000	옥수수건조		"옥미수, 옥고량"		4	A0100700000000	A0000000000000		nan	N
77	A0100700008000	옥수수냉동		"옥미수, 옥고량"		4	A0100700000000	A0000000000000		nan	N
78	A0100800000000	귀리				3	A0100000000000	A0000000000000		nan	N
79	A0100800004000	귀리건조				4	A0100800000000	A0000000000000		nan	N
80	A0100800008000	귀리냉동				4	A0100800000000	A0000000000000		nan	N
81	A0100900000000	호밀				3	A0100000000000	A0000000000000		nan	N
82	A0100900004000	호밀건조				4	A0100900000000	A0000000000000		nan	N
83	A0100900008000	호밀냉동				4	A0100900000000	A0000000000000		nan	N
84	A0101000000000	율무		의이인		3	A0100000000000	A0000000000000		nan	N
85	A0101000000000	일반율무		의이인		4	A0101000000000	A0000000000000		일반율무	Y0000000000033
86	A0101000000000	개량율무		의이인		4	A0101000000000	A0000000000000		개량율무	Y0000000000034
87	A0101000000000	율무쌀		의이인		4	A0101000000000	A0000000000000		율무쌀	Y0000000000035
88	A0101000004000	율무건조		의이인		4	A0101000000000	A0000000000000		nan	N
89	A0101000008000	율무냉동		의이인		4	A0101000000000	A0000000000000		nan	N
90	A0101100000000	기장				3	A0100000000000	A0000000000000		nan	N
91	A0101100000000	기장쌀				4	A0101100000000	A0000000000000		기장쌀	Y0000000000036
92	A0101100004000	기장건조				4	A0101100000000	A0000000000000		nan	N
93	A0101100008000	기장냉동				4	A0101100000000	A0000000000000		nan	N
94	A0101200000000	피				3	A0100000000000	A0000000000000		nan	N
95	A0101200004000	피건조				4	A0101200000000	A0000000000000		nan	N
96	A0101200008000	피냉동				4	A0101200000000	A0000000000000		nan	N
97	A0101300000000	퀴노아		Quinoa		3	A0100000000000	A0000000000000	씨앗	nan	N
98	A0101300004000	퀴노아건조		Quinoa		4	A0101300000000	A0000000000000	씨앗	nan	N
99	A0101300008000	퀴노아냉동		Quinoa		4	A0101300000000	A0000000000000	씨앗	nan	N
100	A0101400000000	트리테케일		라이밀		3	A0100000000000	A0000000000000		nan	N
101	A0101400004000	트리테케일건조		라이밀		4	A0101400000000	A0000000000000		nan	N
102	A0101400008000	트리테케일냉동		라이밀		4	A0101400000000	A0000000000000		nan	N
103	A0101500000000	벼				3	A0100000000000	A0000000000000		nan	N
104	A0101500000000	일반계				4	A0101500000000	A0000000000000		일반계	Y0000000000037
105	A0101500000000	통일계				4	A0101500000000	A0000000000000		통일계	Y0000000000038
106	A0101500000000	햇일반				4	A0101500000000	A0000000000000		햇일반	Y0000000000039
107	A0101500001813	찰벼				3	A0101500000000	A0000000000000		nan	N
108	A0101500004000	벼건조				4	A0101500000000	A0000000000000		nan	N
109	A0101500008000	벼냉동				4	A0101500000000	A0000000000000		nan	N
110	A0100000000813	미숫가루				3	A0100000000000	A0000000000000		nan	N
111	A0101600000000	기타곡류				3	A0100000000000	A0000000000000		nan	N
112	A0101600004000	기타곡류건조				4	A0101600000000	A0000000000000		nan	N
113	A0101600008000	기타곡류냉동				4	A0101600000000	A0000000000000		nan	N
114	A0200000000000	서류				2	A0000000000000	A0000000000000		nan	N
115	A0200100000000	감자				3	A0200000000000	A0000000000000		nan	N
116	A0200100000000	수미감자				4	A0200100000000	A0000000000000		수미감자	Y000000000003A
117	A0200100000000	남작감자				4	A0200100000000	A0000000000000		남작감자	Y000000000003B
118	A0200100000000	대지감자				4	A0200100000000	A0000000000000		대지감자	Y000000000003C
119	A0200100000000	세풍				4	A0200100000000	A0000000000000		세풍	Y000000000003D
120	A0200100000000	조풍				4	A0200100000000	A0000000000000		조풍	Y000000000003E
121	A0200100000000	남서				4	A0200100000000	A0000000000000		남서	Y000000000003F
122	A0200100000000	대서				4	A0200100000000	A0000000000000		대서	Y0000000000040
123	A0200100000000	홍깨니백				4	A0200100000000	A0000000000000		홍깨니백	Y0000000000041
124	A0200100000000	선농감자				4	A0200100000000	A0000000000000		선농감자	Y0000000000042
125	A0200100000000	자주감자				4	A0200100000000	A0000000000000		자주감자	Y0000000000043
126	A0200100000000	가을감자				4	A0200100000000	A0000000000000		가을감자	Y0000000000044
127	A0200100000000	고냉지				4	A0200100000000	A0000000000000		고냉지	Y0000000000045
128	A0200100000000	두백				4	A0200100000000	A0000000000000		두백	Y0000000000046
129	A0200100000000	봄감자				4	A0200100000000	A0000000000000		봄감자	Y0000000000047
130	A0200100000000	조림감자				4	A0200100000000	A0000000000000		조림감자	Y0000000000048
131	A0200100000000	추백감자				4	A0200100000000	A0000000000000		추백감자	Y0000000000049
132	A0200100000000	호박감자				4	A0200100000000	A0000000000000		호박감자	Y000000000004A
133	A0200100000000	홍감자				4	A0200100000000	A0000000000000		홍감자	Y000000000004B
134	A0200100000000	답리작				4	A0200100000000	A0000000000000		답리작	Y000000000004C
135	A0200100000000	맘모스				4	A0200100000000	A0000000000000		맘모스	Y000000000004D
136	A0200100000000	돼지감자				4	A0200100000000	A0000000000000		돼지감자	Y000000000004E
137	A0200100000000	히카마				4	A0200100000000	A0000000000000		히카마	Y000000000004F
138	A0200100000000	깐감자				4	A0200100000000	A0000000000000		깐감자	Y0000000000050
139	A0200100004000	감자건조				4	A0200100000000	A0000000000000		nan	N
140	A0200100008000	감자냉동				4	A0200100000000	A0000000000000		nan	N
141	A0200200000000	고구마				3	A0200000000000	A0000000000000		nan	N
142	A0200200000000	밤고구마				4	A0200200000000	A0000000000000		밤고구마	Y0000000000051
143	A0200200000000	물고구마				4	A0200200000000	A0000000000000		물고구마	Y0000000000052
144	A0200200000000	절간고구마				4	A0200200000000	A0000000000000		절간고구마	Y0000000000053
145	A0200200000000	호박고구마				4	A0200200000000	A0000000000000		호박고구마	Y0000000000054
146	A0200200000000	자주고구마				4	A0200200000000	A0000000000000		자주고구마	Y0000000000055
147	A0200200000000	붉은고구마				4	A0200200000000	A0000000000000		붉은고구마	Y0000000000056
148	A0200200000000	황금고구마				4	A0200200000000	A0000000000000		황금고구마	Y0000000000057
149	A0200200000000	당근고구마				4	A0200200000000	A0000000000000		당근고구마	Y0000000000058
150	A0200200000000	건고구마				4	A0200200000000	A0000000000000		건고구마	Y0000000000059
151	A0200200004000	고구마건조				4	A0200200000000	A0000000000000		nan	N
152	A0200200008000	고구마냉동				4	A0200200000000	A0000000000000		nan	N
153	A0200300000000	토란				3	A0200000000000	A0000000000000		nan	N
154	A0200300004000	토란건조				4	A0200300000000	A0000000000000		nan	N
155	A0200300008000	토란냉동				4	A0200300000000	A0000000000000		nan	N
156	A0200400000000	마				3	A0200000000000	A0000000000000		nan	N
157	A0200400000000	생장마				4	A0200400000000	A0000000000000		생장마	Y000000000005A
158	A0200400000000	깐마				4	A0200400000000	A0000000000000		깐마	Y000000000005B
159	A0200400000000	산마				4	A0200400000000	A0000000000000		산마	Y000000000005C
160	A0200400000000	천마				4	A0200400000000	A0000000000000		천마	Y000000000005D
161	A0200400000000	생환마				4	A0200400000000	A0000000000000		생환마	Y000000000005E
162	A0200400004000	마건조				4	A0200400000000	A0000000000000		nan	N
163	A0200400008000	마냉동				4	A0200400000000	A0000000000000		nan	N
164	A0200500000000	카사바		타피오카		3	A0200000000000	A0000000000000		nan	N
165	A0200500004000	카사바건조		타피오카		4	A0200500000000	A0000000000000		nan	N
166	A0200500008000	카사바냉동		타피오카		4	A0200500000000	A0000000000000		nan	N
167	A0200600000000	곤약		"구약, 곤약의 잎줄기"		3	A0200000000000	A0000000000000		nan	N
168	A0200600004000	곤약건조		"구약, 곤약의 잎줄기"		4	A0200600000000	A0000000000000		nan	N
169	A0200600008000	곤약냉동		"구약, 곤약의 잎줄기"		4	A0200600000000	A0000000000000		nan	N
170	A0200700000000	얌				3	A0200000000000	A0000000000000		nan	N
171	A0200700004000	얌건조				4	A0200700000000	A0000000000000		nan	N
172	A0200700008000	얌냉동				4	A0200700000000	A0000000000000		nan	N
173	A0200800000000	돼지감자				3	A0200000000000	A0000000000000	덩이줄기	nan	N
174	A0200800004000	돼지감자건조				4	A0200800000000	A0000000000000	덩이줄기	nan	N
175	A0200800008000	돼지감자냉동				4	A0200800000000	A0000000000000	덩이줄기	nan	N
176	A0200900000000	기타서류				3	A0200000000000	A0000000000000		nan	N
177	A0200900004000	기타서류건조				4	A0200900000000	A0000000000000		nan	N
178	A0200900008000	기타서류냉동				4	A0200900000000	A0000000000000		nan	N
179	A0300000000000	콩류		콩		2	A0000000000000	A0000000000000		nan	N
180	A0300000000000	황태		콩		3	A0300000000000	A0000000000000		황태	Y000000000005F
181	A0300000000000	청태		콩		3	A0300000000000	A0000000000000		청태	Y0000000000060
182	A0300000000000	흑태		콩		3	A0300000000000	A0000000000000		흑태	Y0000000000061
183	A0300000000000	선비태		콩		3	A0300000000000	A0000000000000		선비태	Y0000000000062
184	A0300000000000	아주까리콩		콩		3	A0300000000000	A0000000000000		아주까리콩	Y0000000000063
185	A0300000000000	서리태		콩		3	A0300000000000	A0000000000000		서리태	Y0000000000064
186	A0300000000000	밤콩		콩		3	A0300000000000	A0000000000000		밤콩	Y0000000000065
187	A0300000000000	콩나물콩		콩		3	A0300000000000	A0000000000000		콩나물콩	Y0000000000066
188	A0300000000000	풋콩		콩		3	A0300000000000	A0000000000000		풋콩	Y0000000000067
189	A0300000000000	풋청태		콩		3	A0300000000000	A0000000000000		풋청태	Y0000000000068
190	A0300000000000	약콩		콩		3	A0300000000000	A0000000000000		약콩	Y0000000000069
191	A0300000000000	갓끈콩		콩		3	A0300000000000	A0000000000000		갓끈콩	Y000000000006A
192	A0300000000000	양태		콩		3	A0300000000000	A0000000000000		양태	Y000000000006B
193	A0300000000000	장단콩		콩		3	A0300000000000	A0000000000000		장단콩	Y000000000006C
194	A0300000000000	울콩		콩		3	A0300000000000	A0000000000000		울콩	Y000000000006D
195	A0300000000000	발아콩		콩		3	A0300000000000	A0000000000000		발아콩	Y000000000006E
196	A0300000000000	백태		콩		3	A0300000000000	A0000000000000		백태	Y000000000006F
197	A0300000000000	호랑이콩		콩		3	A0300000000000	A0000000000000		호랑이콩	Y0000000000070
198	A0300000000000	알록콩		콩		3	A0300000000000	A0000000000000		알록콩	Y0000000000071
199	A0300000000813	콩가루		콩분말		3	A0300000000000	A0000000000000		nan	N
200	A0300100000000	대두				3	A0300000000000	A0000000000000		nan	N
201	A0300100004000	대두건조				4	A0300100000000	A0000000000000		nan	N
202	A0300100008000	대두냉동				4	A0300100000000	A0000000000000		nan	N
203	A0300100030000	대두생				4	A0300100000000	A0000000000000		nan	N
204	A0300200000000	녹두				3	A0300000000000	A0000000000000		nan	N
205	A0300200000000	녹두				4	A0300200000000	A0000000000000		녹두	Y0000000000072
206	A0300200000000	무광녹두				4	A0300200000000	A0000000000000		무광녹두	Y0000000000073
207	A0300200000000	발아녹두				4	A0300200000000	A0000000000000		발아녹두	Y0000000000074
208	A0300200000000	유광녹두				4	A0300200000000	A0000000000000		유광녹두	Y0000000000075
209	A0300200004000	녹두건조				4	A0300200000000	A0000000000000		nan	N
210	A0300200008000	녹두냉동				4	A0300200000000	A0000000000000		nan	N
211	A0300300000000	완두				3	A0300000000000	A0000000000000		nan	N
212	A0300300000000	완두				4	A0300300000000	A0000000000000		완두	Y0000000000076
213	A0300300000000	피완두				4	A0300300000000	A0000000000000		피완두	Y0000000000077
214	A0300300000000	풋완두				4	A0300300000000	A0000000000000		풋완두	Y0000000000078
215	A0300300000000	깐완두				4	A0300300000000	A0000000000000		깐완두	Y0000000000079
216	A0300300004000	완두건조				4	A0300300000000	A0000000000000		nan	N
217	A0300300008000	완두냉동				4	A0300300000000	A0000000000000		nan	N
218	A0300400000000	강낭콩				3	A0300000000000	A0000000000000		nan	N
219	A0300400000000	강낭콩				4	A0300400000000	A0000000000000		강낭콩	Y000000000007A
220	A0300400000000	풋강낭콩				4	A0300400000000	A0000000000000		풋강낭콩	Y000000000007B
221	A0300400000000	줄콩				4	A0300400000000	A0000000000000		줄콩	Y000000000007C
222	A0300400000000	빨간콩				4	A0300400000000	A0000000000000		빨간콩	Y000000000007D
223	A0300400004000	강낭콩건조				4	A0300400000000	A0000000000000		nan	N
224	A0300400008000	강낭콩냉동				4	A0300400000000	A0000000000000		nan	N
225	A0300500000000	동부				3	A0300000000000	A0000000000000		nan	N
226	A0300500000000	동부				4	A0300500000000	A0000000000000		동부	Y000000000007E
227	A0300500000000	풋동부				4	A0300500000000	A0000000000000		풋동부	Y000000000007F
228	A0300500004000	동부건조				4	A0300500000000	A0000000000000		nan	N
229	A0300500008000	동부냉동				4	A0300500000000	A0000000000000		nan	N
230	A0300600000000	팥		적소두		3	A0300000000000	A0000000000000		nan	N
231	A0300600000000	검정팥		적소두		4	A0300600000000	A0000000000000		검정팥	Y0000000000080
232	A0300600000000	개구리팥		적소두		4	A0300600000000	A0000000000000		개구리팥	Y0000000000081
233	A0300600000000	흰팥		적소두		4	A0300600000000	A0000000000000		흰팥	Y0000000000082
234	A0300600000000	발아팥		적소두		4	A0300600000000	A0000000000000		발아팥	Y0000000000083
235	A0300600000000	붉은팥		적소두		4	A0300600000000	A0000000000000		붉은팥	Y0000000000084
236	A0300600004000	팥건조		적소두		4	A0300600000000	A0000000000000		nan	N
237	A0300600008000	팥냉동		적소두		4	A0300600000000	A0000000000000		nan	N
238	A0300700000000	잠두				3	A0300000000000	A0000000000000		nan	N
239	A0300700004000	잠두건조				4	A0300700000000	A0000000000000		nan	N
240	A0300700008000	잠두냉동				4	A0300700000000	A0000000000000		nan	N
241	A0300800000000	피전피				3	A0300000000000	A0000000000000		nan	N
242	A0300800004000	피전피건조				4	A0300800000000	A0000000000000		nan	N
243	A0300800008000	피전피냉동				4	A0300800000000	A0000000000000		nan	N
244	A0300900000000	리마콩				3	A0300000000000	A0000000000000		nan	N
245	A0300900004000	리마콩건조				4	A0300900000000	A0000000000000		nan	N
246	A0300900008000	리마콩냉동				4	A0300900000000	A0000000000000		nan	N
247	A0301000000000	이집트콩				3	A0300000000000	A0000000000000		nan	N
248	A0301000004000	이집트콩건조				4	A0301000000000	A0000000000000		nan	N
249	A0301000008000	이집트콩냉동				4	A0301000000000	A0000000000000		nan	N
250	A0301100000000	그린콩		풋콩		3	A0300000000000	A0000000000000		nan	N
251	A0301100004000	그린콩건조		풋콩		4	A0301100000000	A0000000000000		nan	N
252	A0301100008000	그린콩냉동		풋콩		4	A0301100000000	A0000000000000		nan	N
253	A0301200000000	렌즈콩				3	A0300000000000	A0000000000000		nan	N
254	A0301200004000	렌즈콩건조				4	A0301200000000	A0000000000000		nan	N
255	A0301200008000	렌즈콩냉동				4	A0301200000000	A0000000000000		nan	N
256	A0301300000000	작두콩		"칼콩, 도두"		3	A0300000000000	A0000000000000		nan	N
257	A0301300004000	작두콩건조		"칼콩, 도두"		4	A0301300000000	A0000000000000		nan	N
258	A0301300008000	작두콩냉동		"칼콩, 도두"		4	A0301300000000	A0000000000000		nan	N
259	A0301400000000	검정콩				3	A0300000000000	A0000000000000		nan	N
260	A0301400004000	검정콩건조				4	A0301400000000	A0000000000000		nan	N
261	A0301400008000	검정콩냉동				4	A0301400000000	A0000000000000		nan	N
262	A0301500000000	제비콩		백편두		3	A0300000000000	A0000000000000	씨앗	nan	N
263	A0301500004000	제비콩건조		백편두		4	A0301500000000	A0000000000000	씨앗	nan	N
264	A0301500008000	제비콩냉동		백편두		4	A0301500000000	A0000000000000	씨앗	nan	N
265	A0301600000000	덩굴팥		"적소두, 소두화, 예팥"		3	A0300000000000	A0000000000000	씨	nan	N
266	A0301600004000	덩굴팥건조		"적소두, 소두화, 예팥"		4	A0301600000000	A0000000000000	씨	nan	N
267	A0301600008000	덩굴팥냉동		"적소두, 소두화, 예팥"		4	A0301600000000	A0000000000000	씨	nan	N
268	A0301700000000	기타콩류				3	A0300000000000	A0000000000000		nan	N
269	A0301700004000	기타콩류건조				4	A0301700000000	A0000000000000		nan	N
270	A0301700008000	기타콩류냉동				4	A0301700000000	A0000000000000		nan	N
271	A0400000000000	견과종실류				2	A0000000000000	A0000000000000		nan	N
272	A0400100000000	땅콩 또는 견과류				3	A0400000000000	A0000000000000		nan	N
273	A0400100100000	밤				4	A0400100000000	A0000000000000		nan	N
274	A0400100100000	옥광				5	A0400100100000	A0000000000000		옥광	Y0000000000085
275	A0400100100000	이평				5	A0400100100000	A0000000000000		이평	Y0000000000086
276	A0400100100000	은행율				5	A0400100100000	A0000000000000		은행율	Y0000000000087
277	A0400100100000	광주조생				5	A0400100100000	A0000000000000		광주조생	Y0000000000088
278	A0400100100000	대보				5	A0400100100000	A0000000000000		대보	Y0000000000089
279	A0400100100000	대홍				5	A0400100100000	A0000000000000		대홍	Y000000000008A
