부류코드(catgoryNewCode),부류명(catgoryNewNm),구부류코드(catgoryCode),구부류명(catgoryNm),품목코드(stdPrdlstNewCode),품목명(prdlstNewNm),구품목코드(stdPrdlstCode),구품목명(prdlstNm),품종코드(stdPrdlstNewCode),품종명(stdPrdlstNewNm),구품종코드(stdPrdlstCode),구품종명(prdlstNm),업데이트일자(updtDe)
1,미곡류,1,미곡류,101,벼,101,벼,10101,일반계,10101,일반계,2015-12-15
1,미곡류,1,미곡류,101,벼,101,벼,10102,통일계,10102,통일계,2015-12-15
1,미곡류,1,미곡류,101,벼,101,벼,10103,햇일반계,10103,햇일반계,2015-12-15
1,미곡류,1,미곡류,101,벼,101,벼,10199,기타,10199,기타,2015-12-15
1,미곡류,1,미곡류,102,밭벼,102,밭벼,10201,밭벼(일반),10201,밭벼(일반),2015-12-15
1,미곡류,1,미곡류,103,쌀,103,쌀,10301,일반미,10301,일반미(쌀 일반),2015-12-15
1,미곡류,1,미곡류,103,쌀,103,쌀,10302,청결미,10302,청결미,2015-12-15
1,미곡류,1,미곡류,103,쌀,103,쌀,10303,품질인증미,10303,품질인증미,2015-12-15
1,미곡류,1,미곡류,103,쌀,103,쌀,10304,혼합미,10304,혼합미,2015-12-15
1,미곡류,1,미곡류,103,쌀,103,쌀,10305,흑미,10305,흑미,2015-12-15
1,미곡류,1,미곡류,103,쌀,103,쌀,10306,기타유색미,10306,기타유색미,2015-12-15
1,미곡류,1,미곡류,103,쌀,103,쌀,10307,향미,10307,향미,2015-12-15
1,미곡류,1,미곡류,103,쌀,103,쌀,10308,양조미,10308,양조미,2015-12-15
1,미곡류,1,미곡류,103,쌀,103,쌀,10309,대립미,10309,대립미,2015-12-15
1,미곡류,1,미곡류,103,쌀,103,쌀,10311,쑥쌀,10311,쑥쌀,2015-12-15
1,미곡류,1,미곡류,103,쌀,103,쌀,10313,멥쌀,10313,멥쌀,2015-12-15
1,미곡류,1,미곡류,103,쌀,103,쌀,10314,쌀(쇄미),10314,쌀(쇄미),2015-12-15
1,미곡류,1,미곡류,103,쌀,103,쌀,10398,쌀(수입),10398,쌀(수입),2015-12-15
1,미곡류,1,미곡류,103,쌀,103,쌀,10399,기타,10399,기타,2015-12-15
1,미곡류,1,미곡류,104,찹쌀,104,찹쌀,10401,일반계,10401,찹쌀(일반),2015-12-15
1,미곡류,1,미곡류,104,찹쌀,104,찹쌀,10402,현미찹쌀,10402,현미찹쌀,2015-12-15
1,미곡류,1,미곡류,104,찹쌀,104,찹쌀,10499,기타,10499,기타,2015-12-15
1,미곡류,1,미곡류,105,찰벼,105,찰벼,10501,찰벼(일반),10501,찰벼(일반),2015-12-15
1,미곡류,1,미곡류,106,현미,106,현미,10699,기타,10601,현미(일반),2015-12-15
1,미곡류,1,미곡류,106,현미,106,현미,10602,현미쑥쌀,10602,현미쑥쌀,2015-12-15
